dataset,k_sec,attack_type,n_attack,auc
Water Bottle Factory,0.5,function code scan,1636,0.995
Water Bottle Factory,0.5,device ID attack,312,0.9719
Water Bottle Factory,0.5,naive sensor read,3328,0.9615
Water Bottle Factory,0.5,sporadic sensor injection,5200,0.9936
Water Bottle Factory,0.5,force listen mode,36,0.9443
Water Bottle Factory,0.5,restart communication,358,0.9436
Water Bottle Factory,0.5,data flood attack,85262,0.9995
Water Bottle Factory,1.0,ALL attacks,96322,0.9964
Water Bottle Factory,1.0,address scan,190,0.982
Water Bottle Factory,1.0,function code scan,1636,0.9911
Water Bottle Factory,1.0,device ID attack,312,0.9586
Water Bottle Factory,1.0,naive sensor read,3328,0.9402
Water Bottle Factory,1.0,sporadic sensor injection,5200,0.9923
Water Bottle Factory,1.0,force listen mode,36,0.9103
Water Bottle Factory,1.0,restart communication,358,0.9063
Water Bottle Factory,1.0,data flood attack,85262,0.9995
Water Bottle Factory,2.0,ALL attacks,96322,0.9957
Water Bottle Factory,2.0,address scan,190,0.9706
Water Bottle Factory,2.0,function code scan,1636,0.982
Water Bottle Factory,2.0,device ID attack,312,0.9236
Water Bottle Factory,2.0,naive sensor read,3328,0.9423
Water Bottle Factory,2.0,sporadic sensor injection,5200,0.9882
Water Bottle Factory,2.0,force listen mode,36,0.8971
Water Bottle Factory,2.0,restart communication,358,0.8748
Water Bottle Factory,2.0,data flood attack,85262,0.9994
Water Bottle Factory,4.0,ALL attacks,96322,0.9947
Water Bottle Factory,4.0,address scan,190,0.9541
Water Bottle Factory,4.0,function code scan,1636,0.9656
Water Bottle Factory,4.0,device ID attack,312,0.8949
Water Bottle Factory,4.0,naive sensor read,3328,0.9388
Water Bottle Factory,4.0,sporadic sensor injection,5200,0.9817
Water Bottle Factory,4.0,force listen mode,36,0.8639
Water Bottle Factory,4.0,restart communication,358,0.8743
Water Bottle Factory,4.0,data flood attack,85262,0.9993
Water Bottle Factory,8.0,ALL attacks,96322,0.993
Water Bottle Factory,8.0,address scan,190,0.9239
Water Bottle Factory,8.0,function code scan,1636,0.9372
Water Bottle Factory,8.0,device ID attack,312,0.9155
Water Bottle Factory,8.0,naive sensor read,3328,0.9257
Water Bottle Factory,8.0,sporadic sensor injection,5200,0.9776
Water Bottle Factory,8.0,force listen mode,36,0.7951
Water Bottle Factory,8.0,restart communication,358,0.8487
Water Bottle Factory,8.0,data flood attack,85262,0.9987
Water Bottle Factory,16.0,ALL attacks,96322,0.9902
Water Bottle Factory,16.0,address scan,190,0.8871
Water Bottle Factory,16.0,function code scan,1636,0.8967
Water Bottle Factory,16.0,device ID attack,312,0.8693
Water Bottle Factory,16.0,naive sensor read,3328,0.9114
Water Bottle Factory,16.0,sporadic sensor injection,5200,0.9771
Water Bottle Factory,16.0,force listen mode,36,0.6923
Water Bottle Factory,16.0,restart communication,358,0.822
Water Bottle Factory,16.0,data flood attack,85262,0.9974
Water Bottle Factory,32.0,ALL attacks,96322,0.9848
Water Bottle Factory,32.0,address scan,190,0.8322
Water Bottle Factory,32.0,function code scan,1636,0.8435
Water Bottle Factory,32.0,device ID attack,312,0.7988
Water Bottle Factory,32.0,naive sensor read,3328,0.8919
Water Bottle Factory,32.0,sporadic sensor injection,5200,0.9592
Water Bottle Factory,32.0,force listen mode,36,0.6266
Water Bottle Factory,32.0,restart communication,358,0.7563
Water Bottle Factory,32.0,data flood attack,85262,0.9948
Water Bottle Factory,60.0,ALL attacks,96322,0.9698
Water Bottle Factory,60.0,address scan,190,0.7426
Water Bottle Factory,60.0,function code scan,1636,0.7531
Water Bottle Factory,60.0,device ID attack,312,0.6732
Water Bottle Factory,60.0,naive sensor read,3328,0.8079
Water Bottle Factory,60.0,sporadic sensor injection,5200,0.9133
Water Bottle Factory,60.0,force listen mode,36,0.4827
Water Bottle Factory,60.0,restart communication,358,0.6468
Water Bottle Factory,60.0,data flood attack,85262,0.9869
